service_id,date,exception_type
"MF2-41-843-aus","20250505","2"
"MF2-41-843-aus","20250506","2"
"MF2-41-843-aus","20250507","2"
"MF2-41-843-aus","20250508","2"
"MF2-41-843-aus","20250509","2"
"MF2-41-843-aus","20250512","2"
"MF2-41-843-aus","20250513","2"
"MF2-41-843-aus","20250514","2"
"MF2-41-843-aus","20250515","2"
"MF2-41-843-aus","20250516","2"
"MF2-41-843-aus","20250519","2"
"MF2-41-843-aus","20250520","2"
"MF2-41-843-aus","20250521","2"
"MF2-41-843-aus","20250522","2"
"MF2-41-843-aus","20250523","2"
"MF2-41-843-aus","20250526","2"
"MF2-41-843-aus","20250527","2"
"MF2-41-843-aus","20250528","2"
"MF2-41-843-aus","20250529","2"
"MF2-41-843-aus","20250530","2"
"MF2-41-843-aus","20250602","2"
"MF2-41-843-aus","20250603","2"
"MF2-41-843-aus","20250604","2"
"MF2-41-843-aus","20250605","2"
"MF2-41-843-aus","20250606","2"
"MF2-41-843-aus","20250609","2"
"MF2-41-843-aus","20250610","2"
"MF2-41-843-aus","20250611","2"
"MF2-41-843-aus","20250612","2"
"MF2-41-843-aus","20250613","2"
"MF2-41-843-aus","20250616","2"
"MF2-41-843-aus","20250617","2"
"MF2-41-843-aus","20250618","2"
"MF2-41-843-aus","20250619","2"
"MF2-41-843-aus","20250620","2"
"MF2-41-843-aus","20250623","2"
"MF2-41-843-aus","20250624","2"
"MF2-41-843-aus","20250625","2"
"MF2-41-843-aus","20250626","2"
"MF2-41-843-aus","20250627","2"
"MF2-41-844-aus","20250328","2"
"MF2-41-844-aus","20250331","2"
"MF2-41-844-aus","20250401","2"
"MF2-41-844-aus","20250402","2"
"MF2-41-844-aus","20250403","2"
"MF2-41-844-aus","20250404","2"
"MF2-41-844-aus","20250418","2"
"MF2-41-844-aus","20250421","2"
"MF2-41-844-aus","20250422","2"
"MF2-41-844-aus","20250423","2"
"MF2-41-844-aus","20250424","2"
"MF2-41-844-aus","20250425","2"
"MF2-41-844-aus","20250428","2"
"MF2-41-844-aus","20250429","2"
"MF2-41-844-aus","20250430","2"
"MF2-41-844-aus","20250501","2"
"MF2-41-844-aus","20250502","2"
"MF2-41-844-aus","20250505","2"
"MF2-41-844-aus","20250506","2"
"MF2-41-844-aus","20250507","2"
"MF2-41-844-aus","20250508","2"
"MF2-41-844-aus","20250509","2"
"MF2-41-844-aus","20250512","2"
"MF2-41-844-aus","20250513","2"
"MF2-41-844-aus","20250514","2"
"MF2-41-844-aus","20250515","2"
"MF2-41-844-aus","20250516","2"
"MF2-41-844-aus","20250519","2"
"MF2-41-844-aus","20250520","2"
"MF2-41-844-aus","20250521","2"
"MF2-41-844-aus","20250522","2"
"MF2-41-844-aus","20250523","2"
"MF2-41-844-aus","20250526","2"
"MF2-41-844-aus","20250527","2"
"MF2-41-844-aus","20250528","2"
"MF2-41-844-aus","20250529","2"
"MF2-41-844-aus","20250530","2"
"MF2-41-844-aus","20250602","2"
"MF2-41-844-aus","20250603","2"
"MF2-41-844-aus","20250604","2"
"MF2-41-844-aus","20250605","2"
"MF2-41-844-aus","20250606","2"
"MF2-41-844-aus","20250609","2"
"MF2-41-844-aus","20250610","2"
"MF2-41-844-aus","20250611","2"
"MF2-41-844-aus","20250612","2"
"MF2-41-844-aus","20250613","2"
"MF2-41-844-aus","20250616","2"
"MF2-41-844-aus","20250617","2"
"MF2-41-844-aus","20250618","2"
"MF2-41-844-aus","20250619","2"
"MF2-41-844-aus","20250620","2"
"MF2-41-844-aus","20250623","2"
"MF2-41-844-aus","20250624","2"
"MF2-41-844-aus","20250625","2"
"MF2-41-844-aus","20250626","2"
"MF2-41-844-aus","20250627","2"
"MF2-41-845-aus","20250328","2"
"MF2-41-845-aus","20250331","2"
"MF2-41-845-aus","20250401","2"
"MF2-41-845-aus","20250402","2"
"MF2-41-845-aus","20250403","2"
"MF2-41-845-aus","20250404","2"
"MF2-41-845-aus","20250418","2"
"MF2-41-845-aus","20250421","2"
"MF2-41-845-aus","20250422","2"
"MF2-41-845-aus","20250423","2"
"MF2-41-845-aus","20250424","2"
"MF2-41-845-aus","20250425","2"
"MF2-41-845-aus","20250428","2"
"MF2-41-845-aus","20250429","2"
"MF2-41-845-aus","20250430","2"
"MF2-41-845-aus","20250501","2"
"MF2-41-845-aus","20250502","2"
"MF2-41-845-aus","20250505","2"
"MF2-41-845-aus","20250506","2"
"MF2-41-845-aus","20250507","2"
"MF2-41-845-aus","20250508","2"
"MF2-41-845-aus","20250509","2"
"MF2-41-845-aus","20250512","2"
"MF2-41-845-aus","20250513","2"
"MF2-41-845-aus","20250514","2"
"MF2-41-845-aus","20250515","2"
"MF2-41-845-aus","20250516","2"
"MF2-41-845-aus","20250519","2"
"MF2-41-845-aus","20250520","2"
"MF2-41-845-aus","20250521","2"
"MF2-41-845-aus","20250522","2"
"MF2-41-845-aus","20250523","2"
"MF2-41-845-aus","20250526","2"
"MF2-41-845-aus","20250527","2"
"MF2-41-845-aus","20250528","2"
"MF2-41-845-aus","20250529","2"
"MF2-41-845-aus","20250530","2"
"MF2-41-845-aus","20250602","2"
"MF2-41-845-aus","20250603","2"
"MF2-41-845-aus","20250604","2"
"MF2-41-845-aus","20250605","2"
"MF2-41-845-aus","20250606","2"
"MF2-41-845-aus","20250609","2"
"MF2-41-845-aus","20250610","2"
"MF2-41-845-aus","20250611","2"
"MF2-41-845-aus","20250612","2"
"MF2-41-845-aus","20250613","2"
"MF2-41-845-aus","20250616","2"
"MF2-41-845-aus","20250617","2"
"MF2-41-845-aus","20250618","2"
"MF2-41-845-aus","20250619","2"
"MF2-41-845-aus","20250620","2"
"MF2-41-845-aus","20250623","2"
"MF2-41-845-aus","20250624","2"
"MF2-41-845-aus","20250625","2"
"MF2-41-845-aus","20250626","2"
"MF2-41-845-aus","20250627","2"
"MF2-41-848-aus","20250328","2"
"MF2-41-848-aus","20250331","2"
"MF2-41-848-aus","20250401","2"
"MF2-41-848-aus","20250402","2"
"MF2-41-848-aus","20250403","2"
"MF2-41-848-aus","20250404","2"
"MF2-41-848-aus","20250418","2"
"MF2-41-848-aus","20250421","2"
"MF2-41-848-aus","20250422","2"
"MF2-41-848-aus","20250423","2"
"MF2-41-848-aus","20250424","2"
"MF2-41-848-aus","20250425","2"
"MF2-41-848-aus","20250428","2"
"MF2-41-848-aus","20250429","2"
"MF2-41-848-aus","20250430","2"
"MF2-41-848-aus","20250501","2"
"MF2-41-848-aus","20250502","2"
"MF2-41-848-aus","20250505","2"
"MF2-41-848-aus","20250506","2"
"MF2-41-848-aus","20250507","2"
"MF2-41-848-aus","20250508","2"
"MF2-41-848-aus","20250509","2"
"MF2-41-848-aus","20250512","2"
"MF2-41-848-aus","20250513","2"
"MF2-41-848-aus","20250514","2"
"MF2-41-848-aus","20250515","2"
"MF2-41-848-aus","20250516","2"
"MF2-41-848-aus","20250519","2"
"MF2-41-848-aus","20250520","2"
"MF2-41-848-aus","20250521","2"
"MF2-41-848-aus","20250522","2"
"MF2-41-848-aus","20250523","2"
"MF2-41-848-aus","20250526","2"
"MF2-41-848-aus","20250527","2"
"MF2-41-848-aus","20250528","2"
"MF2-41-848-aus","20250529","2"
"MF2-41-848-aus","20250530","2"
"MF2-41-848-aus","20250602","2"
"MF2-41-848-aus","20250603","2"
"MF2-41-848-aus","20250604","2"
"MF2-41-848-aus","20250605","2"
"MF2-41-848-aus","20250606","2"
"MF2-41-848-aus","20250609","2"
"MF2-41-848-aus","20250610","2"
"MF2-41-848-aus","20250611","2"
"MF2-41-848-aus","20250612","2"
"MF2-41-848-aus","20250613","2"
"MF2-41-848-aus","20250616","2"
"MF2-41-848-aus","20250617","2"
"MF2-41-848-aus","20250618","2"
"MF2-41-848-aus","20250619","2"
"MF2-41-848-aus","20250620","2"
"MF2-41-848-aus","20250623","2"
"MF2-41-848-aus","20250624","2"
"MF2-41-848-aus","20250625","2"
"MF2-41-848-aus","20250626","2"
"MF2-41-848-aus","20250627","2"
"MF2-41-850-aus","20250328","2"
"MF2-41-850-aus","20250331","2"
"MF2-41-850-aus","20250401","2"
"MF2-41-850-aus","20250402","2"
"MF2-41-850-aus","20250403","2"
"MF2-41-850-aus","20250404","2"
"MF2-41-850-aus","20250418","2"
"MF2-41-850-aus","20250421","2"
"MF2-41-850-aus","20250422","2"
"MF2-41-850-aus","20250423","2"
"MF2-41-850-aus","20250424","2"
"MF2-41-850-aus","20250425","2"
"MF2-41-850-aus","20250428","2"
"MF2-41-850-aus","20250429","2"
"MF2-41-850-aus","20250430","2"
"MF2-41-850-aus","20250501","2"
"MF2-41-850-aus","20250502","2"
"MF2-41-850-aus","20250505","2"
"MF2-41-850-aus","20250506","2"
"MF2-41-850-aus","20250507","2"
"MF2-41-850-aus","20250508","2"
"MF2-41-850-aus","20250509","2"
"MF2-41-850-aus","20250512","2"
"MF2-41-850-aus","20250513","2"
"MF2-41-850-aus","20250514","2"
"MF2-41-850-aus","20250515","2"
"MF2-41-850-aus","20250516","2"
"MF2-41-850-aus","20250519","2"
"MF2-41-850-aus","20250520","2"
"MF2-41-850-aus","20250521","2"
"MF2-41-850-aus","20250522","2"
"MF2-41-850-aus","20250523","2"
"MF2-41-850-aus","20250526","2"
"MF2-41-850-aus","20250527","2"
"MF2-41-850-aus","20250528","2"
"MF2-41-850-aus","20250529","2"
"MF2-41-850-aus","20250530","2"
"MF2-41-850-aus","20250602","2"
"MF2-41-850-aus","20250603","2"
"MF2-41-850-aus","20250604","2"
"MF2-41-850-aus","20250605","2"
"MF2-41-850-aus","20250606","2"
"MF2-41-850-aus","20250609","2"
"MF2-41-850-aus","20250610","2"
"MF2-41-850-aus","20250611","2"
"MF2-41-850-aus","20250612","2"
"MF2-41-850-aus","20250613","2"
"MF2-41-850-aus","20250616","2"
"MF2-41-850-aus","20250617","2"
"MF2-41-850-aus","20250618","2"
"MF2-41-850-aus","20250619","2"
"MF2-41-850-aus","20250620","2"
"MF2-41-850-aus","20250623","2"
"MF2-41-850-aus","20250624","2"
"MF2-41-850-aus","20250625","2"
"MF2-41-850-aus","20250626","2"
"MF2-41-850-aus","20250627","2"
"MF2-41-857-aus","20250328","2"
"MF2-41-857-aus","20250331","2"
"MF2-41-857-aus","20250401","2"
"MF2-41-857-aus","20250402","2"
"MF2-41-857-aus","20250403","2"
"MF2-41-857-aus","20250404","2"
"MF2-41-857-aus","20250418","2"
"MF2-41-857-aus","20250421","2"
"MF2-41-857-aus","20250422","2"
"MF2-41-857-aus","20250423","2"
"MF2-41-857-aus","20250424","2"
"MF2-41-857-aus","20250425","2"
"MF2-41-857-aus","20250428","2"
"MF2-41-857-aus","20250429","2"
"MF2-41-857-aus","20250430","2"
"MF2-41-857-aus","20250501","2"
"MF2-41-857-aus","20250502","2"
"MF2-41-857-aus","20250505","2"
"MF2-41-857-aus","20250506","2"
"MF2-41-857-aus","20250507","2"
"MF2-41-857-aus","20250508","2"
"MF2-41-857-aus","20250509","2"
"MF2-41-857-aus","20250512","2"
"MF2-41-857-aus","20250513","2"
"MF2-41-857-aus","20250514","2"
"MF2-41-857-aus","20250515","2"
"MF2-41-857-aus","20250516","2"
"MF2-41-857-aus","20250519","2"
"MF2-41-857-aus","20250520","2"
"MF2-41-857-aus","20250521","2"
"MF2-41-857-aus","20250522","2"
"MF2-41-857-aus","20250523","2"
"MF2-41-857-aus","20250526","2"
"MF2-41-857-aus","20250527","2"
"MF2-41-857-aus","20250528","2"
"MF2-41-857-aus","20250529","2"
"MF2-41-857-aus","20250530","2"
"MF2-41-857-aus","20250602","2"
"MF2-41-857-aus","20250603","2"
"MF2-41-857-aus","20250604","2"
"MF2-41-857-aus","20250605","2"
"MF2-41-857-aus","20250606","2"
"MF2-41-857-aus","20250609","2"
"MF2-41-857-aus","20250610","2"
"MF2-41-857-aus","20250611","2"
"MF2-41-857-aus","20250612","2"
"MF2-41-857-aus","20250613","2"
"MF2-41-857-aus","20250616","2"
"MF2-41-857-aus","20250617","2"
"MF2-41-857-aus","20250618","2"
"MF2-41-857-aus","20250619","2"
"MF2-41-857-aus","20250620","2"
"MF2-41-857-aus","20250623","2"
"MF2-41-857-aus","20250624","2"
"MF2-41-857-aus","20250625","2"
"MF2-41-857-aus","20250626","2"
"MF2-41-857-aus","20250627","2"
"MF2-41-858-aus","20250328","2"
"MF2-41-858-aus","20250331","2"
"MF2-41-858-aus","20250401","2"
"MF2-41-858-aus","20250402","2"
"MF2-41-858-aus","20250403","2"
"MF2-41-858-aus","20250404","2"
"MF2-41-858-aus","20250418","2"
"MF2-41-858-aus","20250421","2"
"MF2-41-858-aus","20250422","2"
"MF2-41-858-aus","20250423","2"
"MF2-41-858-aus","20250424","2"
"MF2-41-858-aus","20250425","2"
"MF2-41-858-aus","20250428","2"
"MF2-41-858-aus","20250429","2"
"MF2-41-858-aus","20250430","2"
"MF2-41-858-aus","20250501","2"
"MF2-41-858-aus","20250502","2"
"MF2-41-858-aus","20250505","2"
"MF2-41-858-aus","20250506","2"
"MF2-41-858-aus","20250507","2"
"MF2-41-858-aus","20250508","2"
"MF2-41-858-aus","20250509","2"
"MF2-41-858-aus","20250512","2"
"MF2-41-858-aus","20250513","2"
"MF2-41-858-aus","20250514","2"
"MF2-41-858-aus","20250515","2"
"MF2-41-858-aus","20250516","2"
"MF2-41-858-aus","20250519","2"
"MF2-41-858-aus","20250520","2"
"MF2-41-858-aus","20250521","2"
"MF2-41-858-aus","20250522","2"
"MF2-41-858-aus","20250523","2"
"MF2-41-858-aus","20250526","2"
"MF2-41-858-aus","20250527","2"
"MF2-41-858-aus","20250528","2"
"MF2-41-858-aus","20250529","2"
"MF2-41-858-aus","20250530","2"
"MF2-41-858-aus","20250602","2"
"MF2-41-858-aus","20250603","2"
"MF2-41-858-aus","20250604","2"
"MF2-41-858-aus","20250605","2"
"MF2-41-858-aus","20250606","2"
"MF2-41-858-aus","20250609","2"
"MF2-41-858-aus","20250610","2"
"MF2-41-858-aus","20250611","2"
"MF2-41-858-aus","20250612","2"
"MF2-41-858-aus","20250613","2"
"MF2-41-858-aus","20250616","2"
"MF2-41-858-aus","20250617","2"
"MF2-41-858-aus","20250618","2"
"MF2-41-858-aus","20250619","2"
"MF2-41-858-aus","20250620","2"
"MF2-41-858-aus","20250623","2"
"MF2-41-858-aus","20250624","2"
"MF2-41-858-aus","20250625","2"
"MF2-41-858-aus","20250626","2"
"MF2-41-858-aus","20250627","2"
"MF2-41-861-aus","20250328","2"
"MF2-41-861-aus","20250331","2"
"MF2-41-861-aus","20250401","2"
"MF2-41-861-aus","20250402","2"
"MF2-41-861-aus","20250403","2"
"MF2-41-861-aus","20250404","2"
"MF2-41-861-aus","20250418","2"
"MF2-41-861-aus","20250421","2"
"MF2-41-861-aus","20250422","2"
"MF2-41-861-aus","20250423","2"
"MF2-41-861-aus","20250424","2"
"MF2-41-861-aus","20250425","2"
"MF2-41-861-aus","20250428","2"
"MF2-41-861-aus","20250429","2"
"MF2-41-861-aus","20250430","2"
"MF2-41-861-aus","20250501","2"
"MF2-41-861-aus","20250502","2"
"MF2-41-861-aus","20250505","2"
"MF2-41-861-aus","20250506","2"
"MF2-41-861-aus","20250507","2"
"MF2-41-861-aus","20250508","2"
"MF2-41-861-aus","20250509","2"
"MF2-41-861-aus","20250512","2"
"MF2-41-861-aus","20250513","2"
"MF2-41-861-aus","20250514","2"
"MF2-41-861-aus","20250515","2"
"MF2-41-861-aus","20250516","2"
"MF2-41-861-aus","20250519","2"
"MF2-41-861-aus","20250520","2"
"MF2-41-861-aus","20250521","2"
"MF2-41-861-aus","20250522","2"
"MF2-41-861-aus","20250523","2"
"MF2-41-861-aus","20250526","2"
"MF2-41-861-aus","20250527","2"
"MF2-41-861-aus","20250528","2"
"MF2-41-861-aus","20250529","2"
"MF2-41-861-aus","20250530","2"
"MF2-41-861-aus","20250602","2"
"MF2-41-861-aus","20250603","2"
"MF2-41-861-aus","20250604","2"
"MF2-41-861-aus","20250605","2"
"MF2-41-861-aus","20250606","2"
"MF2-41-861-aus","20250609","2"
"MF2-41-861-aus","20250610","2"
"MF2-41-861-aus","20250611","2"
"MF2-41-861-aus","20250612","2"
"MF2-41-861-aus","20250613","2"
"MF2-41-861-aus","20250616","2"
"MF2-41-861-aus","20250617","2"
"MF2-41-861-aus","20250618","2"
"MF2-41-861-aus","20250619","2"
"MF2-41-861-aus","20250620","2"
"MF2-41-861-aus","20250623","2"
"MF2-41-861-aus","20250624","2"
"MF2-41-861-aus","20250625","2"
"MF2-41-861-aus","20250626","2"
"MF2-41-861-aus","20250627","2"
"MF2-41-862-aus","20250328","2"
"MF2-41-862-aus","20250331","2"
"MF2-41-862-aus","20250401","2"
"MF2-41-862-aus","20250402","2"
"MF2-41-862-aus","20250403","2"
"MF2-41-862-aus","20250404","2"
"MF2-41-862-aus","20250418","2"
"MF2-41-862-aus","20250421","2"
"MF2-41-862-aus","20250422","2"
"MF2-41-862-aus","20250423","2"
"MF2-41-862-aus","20250424","2"
"MF2-41-862-aus","20250425","2"
"MF2-41-862-aus","20250428","2"
"MF2-41-862-aus","20250429","2"
"MF2-41-862-aus","20250430","2"
"MF2-41-862-aus","20250501","2"
"MF2-41-862-aus","20250502","2"
"MF2-41-862-aus","20250505","2"
"MF2-41-862-aus","20250506","2"
"MF2-41-862-aus","20250507","2"
"MF2-41-862-aus","20250508","2"
"MF2-41-862-aus","20250509","2"
"MF2-41-862-aus","20250512","2"
"MF2-41-862-aus","20250513","2"
"MF2-41-862-aus","20250514","2"
"MF2-41-862-aus","20250515","2"
"MF2-41-862-aus","20250516","2"
"MF2-41-862-aus","20250519","2"
"MF2-41-862-aus","20250520","2"
"MF2-41-862-aus","20250521","2"
"MF2-41-862-aus","20250522","2"
"MF2-41-862-aus","20250523","2"
"MF2-41-862-aus","20250526","2"
"MF2-41-862-aus","20250527","2"
"MF2-41-862-aus","20250528","2"
"MF2-41-862-aus","20250529","2"
"MF2-41-862-aus","20250530","2"
"MF2-41-862-aus","20250602","2"
"MF2-41-862-aus","20250603","2"
"MF2-41-862-aus","20250604","2"
"MF2-41-862-aus","20250605","2"
"MF2-41-862-aus","20250606","2"
"MF2-41-862-aus","20250609","2"
"MF2-41-862-aus","20250610","2"
"MF2-41-862-aus","20250611","2"
"MF2-41-862-aus","20250612","2"
"MF2-41-862-aus","20250613","2"
"MF2-41-862-aus","20250616","2"
"MF2-41-862-aus","20250617","2"
"MF2-41-862-aus","20250618","2"
"MF2-41-862-aus","20250619","2"
"MF2-41-862-aus","20250620","2"
"MF2-41-862-aus","20250623","2"
"MF2-41-862-aus","20250624","2"
"MF2-41-862-aus","20250625","2"
"MF2-41-862-aus","20250626","2"
"MF2-41-862-aus","20250627","2"
"MF2-41-863-aus","20250328","2"
"MF2-41-863-aus","20250331","2"
"MF2-41-863-aus","20250401","2"
"MF2-41-863-aus","20250402","2"
"MF2-41-863-aus","20250403","2"
"MF2-41-863-aus","20250404","2"
"MF2-41-863-aus","20250418","2"
"MF2-41-863-aus","20250421","2"
"MF2-41-863-aus","20250422","2"
"MF2-41-863-aus","20250423","2"
"MF2-41-863-aus","20250424","2"
"MF2-41-863-aus","20250425","2"
"MF2-41-863-aus","20250428","2"
"MF2-41-863-aus","20250429","2"
"MF2-41-863-aus","20250430","2"
"MF2-41-863-aus","20250501","2"
"MF2-41-863-aus","20250502","2"
"MF2-41-863-aus","20250505","2"
"MF2-41-863-aus","20250506","2"
"MF2-41-863-aus","20250507","2"
"MF2-41-863-aus","20250508","2"
"MF2-41-863-aus","20250509","2"
"MF2-41-863-aus","20250512","2"
"MF2-41-863-aus","20250513","2"
"MF2-41-863-aus","20250514","2"
"MF2-41-863-aus","20250515","2"
"MF2-41-863-aus","20250516","2"
"MF2-41-863-aus","20250519","2"
"MF2-41-863-aus","20250520","2"
"MF2-41-863-aus","20250521","2"
"MF2-41-863-aus","20250522","2"
"MF2-41-863-aus","20250523","2"
"MF2-41-863-aus","20250526","2"
"MF2-41-863-aus","20250527","2"
"MF2-41-863-aus","20250528","2"
"MF2-41-863-aus","20250529","2"
"MF2-41-863-aus","20250530","2"
"MF2-41-863-aus","20250602","2"
"MF2-41-863-aus","20250603","2"
"MF2-41-863-aus","20250604","2"
"MF2-41-863-aus","20250605","2"
"MF2-41-863-aus","20250606","2"
"MF2-41-863-aus","20250609","2"
"MF2-41-863-aus","20250610","2"
"MF2-41-863-aus","20250611","2"
"MF2-41-863-aus","20250612","2"
"MF2-41-863-aus","20250613","2"
"MF2-41-863-aus","20250616","2"
"MF2-41-863-aus","20250617","2"
"MF2-41-863-aus","20250618","2"
"MF2-41-863-aus","20250619","2"
"MF2-41-863-aus","20250620","2"
"MF2-41-863-aus","20250623","2"
"MF2-41-863-aus","20250624","2"
"MF2-41-863-aus","20250625","2"
"MF2-41-863-aus","20250626","2"
"MF2-41-863-aus","20250627","2"
"MF2-41-885-aus","20250328","2"
"MF2-41-885-aus","20250331","2"
"MF2-41-885-aus","20250401","2"
"MF2-41-885-aus","20250402","2"
"MF2-41-885-aus","20250403","2"
"MF2-41-885-aus","20250404","2"
"MF2-41-885-aus","20250418","2"
"MF2-41-885-aus","20250421","2"
"MF2-41-885-aus","20250422","2"
"MF2-41-885-aus","20250423","2"
"MF2-41-885-aus","20250424","2"
"MF2-41-885-aus","20250425","2"
"MF2-41-885-aus","20250428","2"
"MF2-41-885-aus","20250429","2"
"MF2-41-885-aus","20250430","2"
"MF2-41-885-aus","20250501","2"
"MF2-41-885-aus","20250502","2"
"MF2-41-885-aus","20250505","2"
"MF2-41-885-aus","20250506","2"
"MF2-41-885-aus","20250507","2"
"MF2-41-885-aus","20250508","2"
"MF2-41-885-aus","20250509","2"
"MF2-41-885-aus","20250512","2"
"MF2-41-885-aus","20250513","2"
"MF2-41-885-aus","20250514","2"
"MF2-41-885-aus","20250515","2"
"MF2-41-885-aus","20250516","2"
"MF2-41-885-aus","20250519","2"
"MF2-41-885-aus","20250520","2"
"MF2-41-885-aus","20250521","2"
"MF2-41-885-aus","20250522","2"
"MF2-41-885-aus","20250523","2"
"MF2-41-885-aus","20250526","2"
"MF2-41-885-aus","20250527","2"
"MF2-41-885-aus","20250528","2"
"MF2-41-885-aus","20250529","2"
"MF2-41-885-aus","20250530","2"
"MF2-41-885-aus","20250602","2"
"MF2-41-885-aus","20250603","2"
"MF2-41-885-aus","20250604","2"
"MF2-41-885-aus","20250605","2"
"MF2-41-885-aus","20250606","2"
"MF2-41-885-aus","20250609","2"
"MF2-41-885-aus","20250610","2"
"MF2-41-885-aus","20250611","2"
"MF2-41-885-aus","20250612","2"
"MF2-41-885-aus","20250613","2"
"MF2-41-885-aus","20250616","2"
"MF2-41-885-aus","20250617","2"
"MF2-41-885-aus","20250618","2"
"MF2-41-885-aus","20250619","2"
"MF2-41-885-aus","20250620","2"
"MF2-41-885-aus","20250623","2"
"MF2-41-885-aus","20250624","2"
"MF2-41-885-aus","20250625","2"
"MF2-41-885-aus","20250626","2"
"MF2-41-885-aus","20250627","2"
"MF2-41-900-aus","20250328","2"
"MF2-41-900-aus","20250331","2"
"MF2-41-900-aus","20250401","2"
"MF2-41-900-aus","20250402","2"
"MF2-41-900-aus","20250403","2"
"MF2-41-900-aus","20250404","2"
"MF2-41-900-aus","20250418","2"
"MF2-41-900-aus","20250421","2"
"MF2-41-900-aus","20250422","2"
"MF2-41-900-aus","20250423","2"
"MF2-41-900-aus","20250424","2"
"MF2-41-900-aus","20250425","2"
"MF2-41-900-aus","20250428","2"
"MF2-41-900-aus","20250429","2"
"MF2-41-900-aus","20250430","2"
"MF2-41-900-aus","20250501","2"
"MF2-41-900-aus","20250502","2"
"MF2-41-900-aus","20250505","2"
